FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/03/2021
FECHA DE GENERACION:;;11/10/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;MARMAXX;;;;;;;;;ESTILO PROPIO 1:;;;;01741-P1;;;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;
ESTILO CLIENTE:;;AN13024;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;4.5%;;;;MODELISTA MAGALY
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;2.5%;;;;
DIVISION:;;MISSY;;;;;;;;;TALLAS:;;;;XS-S-M-L-XL;;;;;;;;;;;;;;;;;;
TIPO MUESTRA:;;PRODUCCION PROG  501-502-505;;;;;;;;;MEDIDA :;;;;PULGADAS;;;;;;YOEL;;;;;;;;;;;;
;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;
A;LARGO DE CUERPO DELANTERO ;;P;CRITICA;  1/4 ;  5/16;25  3/8 ;;25  7/8 ;;26  3/8 ;;26  7/8 ;;27  3/8 ;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO DELANTERO Y ESPALDA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;21 11/16;;22 11/16;;23 11/16;;24 11/16;;26  3/16;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;19  3/16;;20  3/16;;21  3/16;;22  3/16;;23 11/16;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;;;22  3/16;;23  3/16;;24  3/16;;25  3/16;;26 11/16;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO  ;;P;CRITICA;;;7  1/2 ;;7  7/8 ;;8  1/4 ;;8  5/8 ;;9  1/8 ;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;7 11/16;;7 15/16;;8  3/16;;8  7/16;;8 11/16;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;3  5/8 ;;3  3/4 ;;3  7/8 ;;4      ;;4  1/8 ;;;;;;;;;;;;;;;;;;
I;LARGO DE CUERPO ESPALDA;;P;CRITICA;;;26  1/4 ;;26  3/4 ;;27  1/4 ;;27  3/4 ;;28  1/4 ;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/4 ;  5/16;23      ;;24      ;;25      ;;26      ;;27  1/2 ;;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;;;8  3/8 ;;8  3/4 ;;9  1/8 ;;9  1/2 ;;10      ;;;;;;;;;;;;;;;;;;
L;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8  1/2 ;;8  3/4 ;;9      ;;9  1/4 ;;9  1/2 ;;;;;;;;;;;;;;;;;;
M;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  1/2 ;;1  5/8 ;;1  3/4 ;;1  7/8 ;;2      ;;;;;;;;;;;;;;;;;;
N;LARGO DE COLLARETA DE CUELLO;;C;CRITICA;;;25  3/8 ;;26  1/8 ;;26  7/8 ;;27  1/2 ;;28  1/4 ;;;;;;;;;;;;;;;;;;
O;ALTO DE COLLARETA DE CUELLO;;C;CRITICA;;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;1  1/4 ;;;;;;;;;;;;;;;;;;
P;LARGO DE COLLARETA DE CORDON;;C;CRITICA;;;18  3/4 ;;18  7/8 ;;19      ;;19  1/8 ;;19  1/4 ;;;;;;;;;;;;;;;;;;
Q;ALTO DE COLLARETA DE CORDON;;C;CRITICA;;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;;;
R;LARGO DE PIEZA TUNEL DELNTERO;;C;CRITICA;;;8  5/8 ;;8  3/4 ;;8  7/8 ;;9      ;;9  1/8 ;;;;;;;;;;;;;;;;;;
S;ANCHO DE PIEZA TUNEL DELNTERO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
