FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE -PRENDA TUMBLING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BASE DE LA HOJA AJUSTADO EN HOMBRO;;;;
FECHA DE GENERACION:;;12/08/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TSHIRT MANGA CORTA;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;ORIGINAL FAVORITES;;;;;;;;;ESTILO PROPIO 1: ;;;;;;04943-P1;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;SOLO SE RENOMBRO DE NOMBRE Y SEGÚN ANALISTA CAMBIA COLORES Y SE CONSIDERO COMO P2;
ESTILO CLIENTE:;;SHORT SLEVEE TEE;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;6.0%;;;;;;
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;SS23;;;;;;;;TRAVEZ;;;;6.0%;;;;;;
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;XS-S-M-L-XL-XXL-XXXL;;;;;;;;LARG.DE MANGA;;;;6.0%;;;;;12/12/2022;
TIPO MUESTRA:;;PRODUCCION PROGRAMA# 4(PRUEBA);;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;YOEL;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0%;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;6/01/2023;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;2.0%;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;2.0%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.5%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7/01/2023;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0%;01224-P2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0%;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;XXL;;XXXL;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;7  3/8 ;;7  5/8 ;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  7/8 ;;9  3/8 ;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;1  5/8 ;;;;;;;;;;;;;;;02966-P1;
