FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE - PRENDA LAVADA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;30/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;LANDS END;;;;;;;;;ESTILO PROPIO 1:;;;;;;12759;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;
ESTILO CLIENTE:;;527939;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;6.0%;;;;;;
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;10.0%;;;;;;
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;XXS-XS-S-M-L-XL-XXL;;;;;;;;LARG.DE MANGA;;;;6.0%;;;;;;
TIPO MUESTRA:;;;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XXS;;XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;4  1/2 ;;4  7/8 ;;5  1/4 ;;5 11/16;;6  1/16;;6  7/16;;6 13/16;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;3  1/8 ;;3  1/4 ;;3  1/2 ;;3  5/8 ;;3  7/8 ;;4      ;;4  1/4 ;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;17  1/8 ;;18  1/8 ;;19  1/8 ;;20  1/8 ;;21  1/8 ;;22  1/8 ;;23  1/8 ;;;;;;;;;;;;;;;;
D;ANCHO DE PECHO EN LINEA DE SISA;;P;CRITICA;;;20  7/16;;21 11/16;;23  3/16;;24 11/16;;26 11/16;;28 11/16;;30 11/16;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;7 13/16;;8  1/16;;8  5/16;;8  5/8 ;;8  7/8 ;;9  1/4 ;;9  9/16;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON;;P;CRITICA;  3/8 ;  3/8 ;19 11/16;;21  3/16;;22 11/16;;24  3/16;;26  3/16;;28  3/16;;30  3/16;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;30  1/2 ;;31      ;;31  1/2 ;;32      ;;33      ;;34      ;;35      ;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;5  5/16;;5 11/16;;6  1/16;;6  7/16;;6 13/16;;7  3/16;;7  9/16;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;1  3/16;;1  3/16;;1  5/16;;1  5/16;;1  5/16;;1  7/16;;1  9/16;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;17  7/8 ;;18  7/8 ;;18  7/8 ;;20  7/8 ;;21  7/8 ;;22  7/8 ;;23  7/8 ;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;8 11/16;;8 15/16;;9  3/16;;9  1/2 ;;9  3/4 ;;10  1/16;;10  5/16;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;31  7/16;;31 15/16;;32  7/16;;32 15/16;;33 15/16;;34 15/16;;35 15/16;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  1/2 ;  1/2 ;10  1/4 ;;10  1/2 ;;10  3/4 ;;11      ;;11  1/4 ;;11  1/2 ;;11  3/4 ;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;16  3/16;;16 13/16;;17  7/16;;18  3/16;;19      ;;20      ;;21  1/8 ;;;;;;;;;;;;;;;;
O;ABERTURA DE BOCA  MANGA;;P;CRITICA;  1/2 ;  1/2 ;12 11/16;;13  9/16;;14  7/16;;15  5/16;;16  5/16;;17  5/16;;18  7/16;;;;;;;;;;;;;;;;
1;LARGO DE TAJO;;P;CRITICA;  7/16;  1/2 ;5  5/16;;5  5/16;;5  5/16;;5  5/16;;5  5/16;;5  5/16;;5  5/16;;;;;;;;;;;;;;;;
2;ANCHO DE TAJO;;P;CRITICA;  7/16;  1/4 ;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;1  1/16;;;;;;;;;;;;;;;;
P;LARGO DE PECHERA;;C;CRITICA;;;9  5/16;;9  5/16;;9  5/16;;9  5/16;;9  5/16;;9  5/16;;9  5/16;;;;;;;;;;;;;;;;
Q;ANCHO DE PECHERA;;C;CRITICA;;;3  3/4 ;;3  3/4 ;;3  3/4 ;;3  3/4 ;;3  3/4 ;;3  3/4 ;;3  3/4 ;;;;;;;;;;;;;;;;
U;LARGO DE TAPETE DE VENTS;;C;CRITICA;;;10      ;;10      ;;10      ;;10      ;;10      ;;10      ;;11      ;;;;;;;;;;;;;;;;
V;ALTO DE TAPETE DE VENTS;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;
W;LARGO DE TAPETE DE HOMBROS;;C;CRITICA;;;15  3/4 ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;19  3/4 ;;20  3/4 ;;21  3/4 ;;;;;;;;;;;;;;;;
X;ALTO DE TAPETE DE HOMBROS;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;
Y;LARGO DE TAPETE DE ESCOTE;;C;CRITICA;;;20  1/2 ;;21  1/4 ;;22  1/4 ;;22  7/8 ;;23  7/8 ;;24  3/4 ;;25  3/4 ;;;;;;;;;;;;;;;;
Z;ALTO DE TAPETE DE ESCOTE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;
5;LARGO DE PUÑO RECTILINEO;;C;CRITICA;  1/4 ;  3/8 ;11  1/2 ;;12  1/2 ;;13  1/2 ;;14  1/2 ;;15  1/2 ;;16  1/2 ;;17  1/2 ;;;;;;;;;;;;;;;;
6;ALTO DE PUÑO RECTILINEO;;C;CRITICA;;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;;;;;;;;;;;;;;;
7;LARGO DE CUELLO ;;C;CRITICA;;;13  3/4 ;;14  3/4 ;;15  3/4 ;;16  3/4 ;;17  3/4 ;;18  3/4 ;;19  3/4 ;;;;;;;;;;;;;;;;
8;ALTO DE CUELLO EN 1/2 CENTRO;;C;CRITICA;  1/4 ;  1/4 ;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;;
9;ALTO DE PUNTA DE CUELLO;;C;CRITICA;  1/4 ;  1/4 ;3      ;;3      ;;3      ;;3      ;;3      ;;3      ;;3      ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
