FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;  23/02/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;STITCH FIX WOMEN;;;;;;;;;ESTILO PROPIO 1:;;;;9383;;;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE:;;WGK10591-RG ;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;PROGRAMA 41 -   LISTADO;;;;;;HILO: ;;;;1.5%;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;SPRING 21;;;;;;;;;;TRAVEZ:;;;;1.5%;;;
DIVISIÓN:;;DAMA;;;;;;;;;TALLAS:   ;;;;XS-S-M-L-XL-2XL;;;;;;;;;;LARG.DE MANGA:;;;;1.5%;;;
TIPO MUESTRA;;PRODUCCION;;;;;;;;;MEDIDA :;;;;PULGADA;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MOLDE CON INCLINACION DE 3° ANTI HORARIO;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;;;;;;;;;;;;;;
A;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;8 11/16;;8 15/16;;9  3/16;;9  7/16;;9 11/16;;9 15/16;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE ESPALDA DESDE HPS;;P;CRITICA;;;1 7/8;;2    ;;2 1/8;;2 1/4;;2 3/8;;2 1/2;;;;;;;;;;;;;;;
