FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE-PRENDA LAVADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ABERURA Y HOMBOR CORREGIDO 
;;18/12/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SE CORRIGE EL CODIGO (A) TALLA XL;;
CLIENTE: JCREW;;JCREW;;;;;;;;;ESTILO PROPIO 1:   ;;;;05272-P1;;;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;;;
ESTILO CLIENTE: ;;204993;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;7.0%;;;6.0%;;;;
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;;;;;;;;;;;TRAVEZ;;;;5.0%;;;4.0%;;;;
DIVISION:;;WOMENS;;;;;;;;;TALLAS: ;;;;XXXS-XXS-XS-S-M-L-XL-XXL;;;;;;;;;;;;;;;;;;;;;
TIPO MUESTRA: ;;PRODUCION  PROGRAMA 012;;;;;;;;;MEDIDA : ;;;;PULGADAS;;;;;;YOEL;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01817-P1;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;191056;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XXXS;;XXS;;XS;;S;;M;;L;;XL;;XXL;;;;;;;;;;;XL;;;;
A;LARGO DELANTERO;;P;CRITICA;  5/16;  1/4 ;24  7/8 ;;25  1/8 ;;25  5/8 ;;26  1/8 ;;26  5/8 ;;27  1/8 ;;27  5/8 ;;28  1/8 ;;;;;;;;;;;28 3/4;;;;
B;LARGO ESPALDA;;P;CRITICA;  5/16;  1/4 ;25 11/16;;25 15/16;;26  7/16;;26 15/16;;27  7/16;;27 15/16;;28  7/16;;28 15/16;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/4 ;.25;9 11/16;;10  1/4 ;;10  3/4 ;;10 15/16;;11  7/16;;12  1/16;;12 11/16;;13  1/16;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  1/4 ;.25;9  5/16;;9 13/16;;10  5/16;;10  9/16;;11  1/16;;11 11/16;;12  5/16;;12 11/16;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;8  1/8 ;;8  3/8 ;;8 13/16;;9  1/4 ;;9 13/16;;10  5/16;;10  7/8 ;;11  7/16;;;;;;;;;;;;;;;
F;SISA RECTA ESPALDA;;P;CRITICA;;;9  5/16;;9  9/16;;10  1/16;;10  1/2 ;;11      ;;11  1/2 ;;12      ;;12  9/16;;;;;;;;;;;;;;;
G;ANCHO PECHO EN LINEA DE SISA;;P;CRITICA;  3/8 ;  3/8 ;16  9/16;;17  1/16;;18  1/16;;19  1/16;;20  1/16;;21  9/16;;22 13/16;;24  1/16;;;;;;;;;;;;;;;
H;ANCHO DE FALDON DELANTERO Y ESPALDA ;;P;CRITICA;  3/8 ;  3/8 ;17  5/16;;17 13/16;;18 13/16;;19 13/16;;20 13/16;;22  5/16;;23  5/16;;24 13/16;;;;;;;;;;;;;;;
I;ABERTURA CUELLO DELANTERO;;P;CRITICA;;;6 15/16;;7  1/16;;7  5/16;;7 13/16;;8  1/16;;8  3/8 ;;8  9/16;;8  7/8 ;;;;;;;;;;;;;;;
J;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;7  3/16;;7  3/16;;7  7/16;;7  7/16;;7 11/16;;7  3/4 ;;7 15/16;;7 15/16;;;;;;;;;;;;;;;
K;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;6  9/16;;6  5/8 ;;6  7/8 ;;7  1/2 ;;7  3/4 ;;8  1/8 ;;8  5/16;;8  9/16;;;;;;;;;;;;;;;
L;CAIDA CUELLO  ESPALDA;;P;CRITICA;;;4  3/16;;4  3/16;;4  3/16;;4  3/16;;4  3/16;;4  3/16;;4  3/16;;4  3/16;;;;;;;;;;;;;;;
M;ALTO DE CUELLO;;C;CRITICA;;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;;;;;;;;;;;;;;
N;LARGO DE CUELLO;;C;CRITICA;;;23  5/8 ;;23  3/4 ;;24  7/16;;24 15/16;;25  9/16;;25 13/16;;26  7/16;;26  3/4 ;;;;;;;;;;;;;;;
O;ALTO DE TAPETE DE ESCOTE;;C;CRITICA;;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;
P;LARGO DE TAPETE DE ESCOTE;;C;CRITICA;;;16    ;;16  1/16;;16  1/4 ;;16  5/8 ;;16 13/16;;17      ;;17  1/4 ;;17  7/16;;;;;;;;;;;;;;;
Q;ALTO DE BANDA DE SISA;;C;CRITICA;;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;1  5/16;;;;;;;;;;;;;;;
