C;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;;;4 1/8;;4 1/4;;4 3/8;;4 1/2;;4 5/8;;;;;;;;;;;;;;;;;
D;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;27 1/2;;28    ;;28 1/2;;29    ;;29 1/2;;;;;;;;;;;;;;;;;
E;ANCHO DE PECHO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;18 1/4;;19 1/4;;20 1/2;;22    ;;24    ;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;22    ;;23    ;;24 1/4;;25 3/4;;27 3/4;;;;;;;;;;;;;;;;;
G;SISA RECTA DELANTERO;;P;CRITICA;;;7    ;;7 3/8;;7 3/4;;8 1/4;;8 7/8;;;;;;;;;;;;;;;;;
H;ANCHO DE HOMBROS ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;15 3/8;;15 7/8;;16 1/2;;17 1/4;;18 1/4;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;1 5/8;;1 5/8;;1 5/8;;1 5/8;;1 5/8;;;;;;;;;;;;;;;;;
J;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;8 3/8;;8 5/8;;8 7/8;;9 1/8;;9 1/4;;;;;;;;;;;;;;;;;
K;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;28 1/8;;28 5/8;;29 1/8;;29 5/8;;30 1/8;;;;;;;;;;;;;;;;;
L;ANCHO DE PECHO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18 1/4;;19 1/4;;20 1/2;;22    ;;24    ;;;;;;;;;;;;;;;;;
M;ANCHO DE FALDON ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;22    ;;23    ;;24 1/4;;25 3/4;;27 3/4;;;;;;;;;;;;;;;;;
N;SISA RECTA ESPALDA;;P;CRITICA;;;7 7/8;;8 1/4;;8 5/8;;9 1/8;;9 5/8;;;;;;;;;;;;;;;;;
O;ANCHO DE BICEPS;;P;CRITICA;  3/8 ;  3/8 ;13 1/2;;14 1/4;;15    ;;16    ;;17 1/8;;;;;;;;;;;;;;;;;
P;ABERTURA DE MANGA;;P;CRITICA;  3/8 ;  3/8 ;8 1/2;;8 7/8;;9 1/8;;9 3/8;;9 3/4;;;;;;;;;;;;;;;;;
Q;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;24 3/4;;25 1/8;;25 1/2;;25 7/8;;26 1/4;;;;;;;;;;;;;;;;;
R;LARGO DE CUELLO;;C;CRITICA;;;20    ;;20 5/8;;21 1/4;;21 3/4;;22 3/8;;;;;;;;;;;;;;;;;
S;ALTO DE CUELLO ;;C;CRITICA;;;1 1/2;;1 1/2;;1 1/2;;1 1/2;;1 1/2;;;;;;;;;;;;;;;;;
T;LARGO DE TAPETE ESCOTE;;C;CRITICA;;;13 7/8;;14 1/8;;14 3/8;;14 5/8;;14 7/8;;;;;;;;;;;;;;;;;
U;ALTO DE TAPETE ESCOTE;;C;CRITICA;;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;1 1/8;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
