FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;8/06/2023;;;;;;;;;;;;;;;;;;;;;;;MOLDE ;;;;;;;
CLIENTE:;;LACOSTE;;;;;;;;;ESTILO PROPIO 1:;;;;;;01656-P2;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;
ESTILO CLIENTE:;;L1312;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;0.0%;;;
SILUETA:;;;;;;;;;;;TEMPORADA:;;;;;;SS'23;;;;;;;;TRAVEZ;;;;3.0%;;;
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;2-3-4-5-6-7-8-9-10-11;;;;;;;;LARG.DE MANGA;;;;-1.0%;;;
TIPO MUESTRA:;;PRODUCCION PROGRAMA #;;;;;;;;;MEDIDA :;;;;;;CENTIMETROS;;;;LEANDRO;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;0.50;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;0.50;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;0.70;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);2;;3;;4;;5;;6;;7;;8;;9;;10;;11;;;;;;;
A;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;;;16.5;;16.5;;17.5;;17.5;;18.6;;18.6;;19.6;;19.6;;20.6;;20.6;;;;;;;
B;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;;;2.7;;2.7;;2.9;;2.9;;3.1;;3.1;;3.5;;3.5;;3.9;;3.9;;;;;;;
